text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,followers,total_tweets,location,score
RT @gaygetarlton: what is joe biden’s plan to release lorde’s new album?,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gaycakez,7622,TRUE,FALSE,NA,NA,18,25,she/they ~ 18 ~ LV,3
"@TomFitton Tom...it appears that Biden needs them to feel comfy and ""at home!""",FALSE,0,TomFitton,2020-11-24 6:38,FALSE,1.33093E+18,1.33112E+18,18266688,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DonovanaBurgerm,0,FALSE,FALSE,NA,NA,60,4201,,0
@Betsinoregon @thehill He will still be younger than Biden and light years sharper than him .,FALSE,0,Betsinoregon,2020-11-24 6:38,FALSE,1.3311E+18,1.33112E+18,1.29684E+18,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NATURESMILE101,0,FALSE,FALSE,NA,NA,156,217,Sweden,0
"Top story: President-Elect Joe Biden: Official Transition Website https://t.co/Syxrp4Pem8, see more https://t.co/bJytaDKdOI",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",casper_rv,0,FALSE,FALSE,NA,NA,1144,204237,"Porto, Portugal ",7
"RT @ProSyn: If the US is to resume its role as the beating heart of the liberal international order, it needs to overcome the domestic divi…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",anapalacio,0,TRUE,FALSE,NA,NA,14842,18154,,0
"RT @anthonyzenkus: Biden has chosen Alejandro Mayorkas to lead the DHS. Mayorkas is a partner at Wilmer, Cutler &amp; Pickering Law Firm, which…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",liseng18,87,TRUE,FALSE,NA,NA,579,9123,NYC,0
"RT @TIME: The federal government recognized President-elect Joe Biden as the “apparent winner” of the U.S. election, formally starting the…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",PAGilchrist,108,TRUE,FALSE,NA,NA,1124,227126,"Washington, D.C.",3
"RT @marwilliamson: We don’t know yet who Biden will make Attorney General, but I hope he or she will hold legally responsible every alleged…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",blanquita0789,61,TRUE,FALSE,NA,NA,827,15619,TN,0
"RT @tedcruz: Twitter Left is aghast—seems the media/commie list-serve activated them all.

Two observations: (1) Biden has *still* not been…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JboydsJudy,612,TRUE,FALSE,NA,NA,141,6918,,0
RT @Thomas1774Paine: Biden’s Transition Team Is Stacked With Former Facebook And Zuckerberg Insiders https://t.co/tzz0wT0tRc,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",mistykatt96,36,TRUE,FALSE,NA,NA,190,6266,USA,2
"RT @SenTomCotton: As Bob Gates said, Joe Biden has “been wrong on nearly every major foreign policy and national security issue over the pa…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hollywoodtownca,1306,TRUE,FALSE,NA,NA,1159,64388,"T Oaks, CA",1
RT @bocxtop: what is joe biden’s plan to stop the sun from disappearing at 5pm,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",70SVAPOR,26215,TRUE,FALSE,NA,NA,719,9508,she/her | zourrie + 5SOS | blm,3
"RT @RichardGCorbett: Joe #Biden has chosen Anthony Blinken as his Secretary of State (i.e.Foreign Minister). 
His views on #Brexit couldn’t…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Failure2include,290,TRUE,FALSE,NA,NA,85,6652,,1
"@laloalcaraz @LatPoliticalAve @AndujoJ @AliMayorkas By Jan. 20, 4:00 pm, I expect to see President Joe Biden signin… https://t.co/OJ6RU1wP0i",FALSE,0,laloalcaraz,2020-11-24 6:38,TRUE,1.33102E+18,1.33112E+18,42891240,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bernice14,0,FALSE,FALSE,NA,NA,891,17839,"Santa Fe, NM",2
