total_tweets,followers,retweetCount,score,isRetweet,created
-0.366640196,3.464096503,-0.357427716,-0.850008066,0.746240578,0.666983134
-0.458684178,-0.34458662,-0.339375497,-0.850008066,0.746240578,0.666983134
1.763203117,-0.199053962,-0.335018065,0.520972685,0.746240578,0.666983134
-0.392476925,-0.278362585,-0.344770413,-0.850008066,0.746240578,0.666983134
-0.481157545,-0.461546811,-0.230439691,-0.850008066,0.746240578,0.463634616
-0.487802731,-0.448462224,-0.349957833,0.063979102,0.746240578,0.463634616
0.104576884,-0.189707828,-0.086436931,-0.393014482,0.746240578,0.463634616
-0.454760257,-0.307202084,5.082100189,0.520972685,0.746240578,0.463634616
-0.483868618,-0.476500626,-0.297253652,-0.393014482,0.746240578,0.463634616
-0.369850677,-0.261272511,-0.357427716,0.063979102,-1.326649916,0.260286097
-0.430992505,-0.199855059,-0.357427716,-0.850008066,-1.326649916,0.260286097
-0.074068549,0.375866795,-0.35722022,-0.850008066,0.746240578,0.260286097
-0.430207721,-0.258602187,1.524983009,-0.393014482,0.746240578,0.056937579
-0.322376326,-0.427633696,-0.357427716,2.348947021,-1.326649916,0.056937579
-0.551421216,-0.498931347,-0.357427716,-0.850008066,-1.326649916,0.056937579
-0.24939139,-0.49145444,-0.357427716,0.063979102,-1.326649916,0.056937579
-0.498647023,-0.483977533,-0.28065391,-0.393014482,0.746240578,0.056937579
-0.538191996,-0.486380825,0.354908706,-0.850008066,0.746240578,0.056937579
1.009453513,6.847931077,-0.354522762,-0.393014482,0.746240578,0.056937579
-0.481422537,-0.494658829,-0.357427716,1.891953437,-1.326649916,-0.146410939
-0.421412022,-0.424963372,-0.35722022,-0.393014482,0.746240578,-0.146410939
1.064062267,3.049128153,3.199896961,-0.393014482,0.746240578,-0.146410939
0.15812567,-0.365415147,-0.357427716,1.891953437,-1.326649916,-0.146410939
-0.142609772,-0.442854543,0.055490862,-0.850008066,0.746240578,-0.146410939
-0.511122035,0.216448453,-0.357427716,-0.393014482,-1.326649916,-0.146410939
-0.241543548,0.607116854,-0.35722022,-0.850008066,0.746240578,-0.146410939
-0.399305567,-0.154459551,-0.357427716,2.348947021,-1.326649916,-0.349759457
4.209324677,0.843974593,-0.236664594,-0.850008066,0.746240578,-0.349759457
-0.339753691,-0.432707312,-0.357427716,2.348947021,-1.326649916,-0.349759457
5.18778757,0.327266899,-0.315513368,-0.850008066,0.746240578,-0.349759457
3.212638483,0.304302112,-0.304308542,0.520972685,0.746240578,-0.349759457
0.077272508,-0.190775958,3.199896961,-0.393014482,0.746240578,-0.349759457
0.756875288,0.08934103,-0.353692774,-0.850008066,0.746240578,-0.349759457
-0.375670311,0.119248659,-0.357427716,2.348947021,-1.326649916,-0.553107975
-0.364815828,0.008964278,-0.180847962,-0.393014482,0.746240578,-0.553107975
-0.537264523,-0.497329153,-0.357427716,-0.393014482,-1.326649916,-0.553107975
-0.494366382,-0.195048476,-0.357427716,-0.850008066,-1.326649916,-0.553107975
2.980169079,-0.161135361,-0.355767742,-0.393014482,0.746240578,-0.553107975
-0.293318924,0.333942709,-0.357427716,0.520972685,-1.326649916,-0.553107975
